#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: main_atlas.png (512 x 1024)
# $TexturePacker:SmartUpdate:429e0804f55b4214028592e61e345906:6779681a782ccfeb57ffdc7c66d1b24b:bb8c871ba50dcb594d48391b0a334787$
#

applejack afk1;1;404;434;62;50;77;89;0.55;0.5403225806451613
applejack afk2;1;239;487;57;52;77;89;0.5673076923076923;0.5
applejack afk3;1;314;463;60;55;77;89;0.5909090909090909;0.525
applejack-jump1;0;173;411;69;59;102;69;0.6086956521739131;0.4152542372881356
applejack-jump2;0;72;516;64;64;102;69;0.515625;0.4609375
applejack-land1;0;439;314;71;60;90;60;0.5633802816901409;0.5
applejack-land2;1;192;252;60;75;90;60;0.5733333333333334;0.5
applejack-land3;0;439;314;71;60;90;60;0.5633802816901409;0.5
applejack-pony-idle1;1;1;159;97;60;64;110;0.5166666666666667;0.4329896907216495
applejack-pony-idle2;1;347;277;90;63;64;110;0.5079365079365079;0.4444444444444444
applejack-pony-star;1;258;189;96;41;42;96;0.4878048780487805;0.5
applejack-pony-swim1;1;255;232;90;66;88;116;0.3787878787878788;0.5222222222222223
applejack-pony-swim2;1;450;233;60;79;88;116;0.5569620253164557;0.55
applejack-pony-tap1;1;100;218;90;56;102;116;0.42857142857142855;0.5
applejack-pony-tap2;0;344;342;88;58;102;116;0.5227272727272727;0.6724137931034483
applejack-true-idle;0;1;287;85;58;90;60;0.5058823529411764;0.4827586206896552
coral1;1;468;434;41;56;64;64;0.48214285714285715;0.21951219512195122
coral2;0;213;85;46;45;64;64;0.5;0.28888888888888886
coral3;0;376;486;50;41;64;64;0.46;0.21951219512195122
coral4;1;213;132;43;58;64;64;0.46551724137931033;0.2558139534883721
coral5;1;464;173;43;58;64;64;0.46551724137931033;0.2558139534883721
coral6;1;210;192;43;58;64;64;0.46551724137931033;0.2558139534883721
coral7;1;1;532;63;50;64;64;0.54;0.49206349206349204
pinkiepie-pony-idle1;1;261;128;103;59;64;110;0.5423728813559322;0.46601941747572817
pinkiepie-pony-idle2;1;107;153;101;63;64;110;0.5079365079365079;0.45544554455445546
pinkiepie-pony-star;1;261;84;107;42;42;108;0.5;0.4953271028037383
pinkiepie-pony-swim1;1;107;85;104;66;88;116;0.4393939393939394;0.47115384615384615
pinkiepie-pony-swim2;0;1;221;86;64;88;116;0.5;0.671875
pinkiepie-pony-tap1;1;1;85;104;72;102;116;0.4166666666666667;0.47115384615384615
pinkiepie-pony-tap2;0;89;276;86;64;102;116;0.5116279069767442;0.703125
rainbowdash-fail;0;249;361;82;64;86;74;0.5121951219512195;0.4375
rainbowdash-idle1;1;177;329;70;80;84;74;0.4875;0.4857142857142857
rainbowdash-idle2;0;86;450;82;64;84;74;0.5;0.46875
rainbowdash-idle3;0;1;403;83;66;84;74;0.4939759036144578;0.48484848484848486
rainbowdash-jump1;0;170;472;67;59;69;59;0.48507462686567165;0.5
rainbowdash-jump2;0;1;471;69;59;69;59;0.5;0.5
rainbowdash-land1;0;333;402;69;59;69;59;0.5;0.5
rainbowdash-land2;0;244;427;68;58;69;59;0.5073529411764706;0.5086206896551724
rainbowdash-land3;0;333;402;69;59;69;59;0.5;0.5
sand1;0;261;49;128;33;128;64;0.5;0.030303030303030304
sand2;0;1;49;128;34;128;64;0.5;0.38235294117647056
sand3;0;131;49;128;34;128;64;0.5;0.7941176470588235
Sprite-0001;0;391;49;112;122;128;128;0.49107142857142855;0.5163934426229508
Sprite-0002;0;1;1;498;46;512;128;0.5040160642570282;0.5869565217391305
template-pony-idle1;1;356;217;92;58;64;110;0.5344827586206896;0.41304347826086957
template-pony-idle2;1;254;300;88;59;64;110;0.5423728813559322;0.4090909090909091
template-pony-star;1;366;173;96;42;42;96;0.5;0.5
template-pony-swim1;1;87;398;84;50;88;116;0.5;0.5119047619047619
template-pony-swim2;0;434;376;74;56;88;116;0.5540540540540541;0.5178571428571429
template-pony-tap1;1;1;347;84;54;102;116;0.4444444444444444;0.4880952380952381
template-pony-tap2;0;88;342;84;54;102;116;0.5;0.6481481481481481
